date	opening_price	high_price	low_price	trade_price	volume	marketCapitalization
Apr 04, 2021	₩2,290,832.63	₩2,384,245.63	₩2,267,604.89	₩2,364,790.51	₩29,381,755,751,237	₩272,743,473,031,561
Apr 03, 2021	₩2,421,011.69	₩2,423,346.36	₩2,291,681.24	₩2,291,681.24	₩36,166,133,847,368	₩264,281,307,622,467
Apr 02, 2021	₩2,232,073.48	₩2,431,807.93	₩2,211,125.82	₩2,421,384.17	₩39,361,827,125,700	₩279,026,894,771,646
Apr 01, 2021	₩2,165,197.35	₩2,244,768.75	₩2,158,737.57	₩2,232,462.00	₩34,877,534,026,892	₩257,196,383,500,826
Mar 31, 2021	₩2,092,220.10	₩2,197,510.45	₩2,026,859.19	₩2,164,300.18	₩34,256,753,278,351	₩250,635,770,623,318
Mar 30, 2021	₩2,060,809.08	₩2,111,627.82	₩2,032,612.19	₩2,092,146.91	₩25,498,985,467,641	₩241,014,118,066,239
Mar 29, 2021	₩1,909,364.90	₩2,080,080.76	₩1,906,796.43	₩2,061,056.74	₩25,736,367,911,047	₩236,772,653,523,946
Mar 28, 2021	₩1,937,753.34	₩1,951,502.36	₩1,888,346.72	₩1,909,469.64	₩18,740,140,967,879	₩220,049,480,702,218
Mar 27, 2021	₩1,922,659.65	₩1,956,289.40	₩1,890,239.59	₩1,937,853.76	₩20,436,747,443,631	₩223,293,772,557,655
Mar 26, 2021	₩1,810,898.40	₩1,922,531.77	₩1,808,049.60	₩1,922,440.53	₩25,597,301,470,890	₩222,718,143,887,952
Mar 25, 2021	₩1,808,923.64	₩1,844,263.35	₩1,768,528.83	₩1,811,067.71	₩33,666,686,054,621	₩208,681,241,014,565
Mar 24, 2021	₩1,901,377.97	₩1,973,664.59	₩1,783,642.68	₩1,809,253.15	₩35,385,124,719,604	₩207,972,895,248,701
Mar 23, 2021	₩1,903,954.88	₩1,951,513.64	₩1,876,648.30	₩1,902,111.78	₩24,770,447,356,519	₩217,699,697,699,692
Mar 22, 2021	₩2,019,920.39	₩2,042,969.69	₩1,885,917.36	₩1,904,475.27	₩26,654,947,174,780	₩219,993,046,685,030
Mar 21, 2021	₩2,047,266.58	₩2,059,404.34	₩1,992,524.71	₩2,019,756.42	₩25,952,059,422,600	₩232,563,220,836,952
Mar 20, 2021	₩2,052,819.22	₩2,117,408.82	₩2,046,275.09	₩2,047,298.28	₩25,613,526,771,896	₩235,711,277,090,403
Mar 19, 2021	₩2,007,221.85	₩2,079,685.31	₩1,975,158.99	₩2,052,933.71	₩23,927,299,675,754	₩235,613,958,573,684
Mar 18, 2021	₩2,045,585.22	₩2,074,902.90	₩1,921,705.01	₩2,007,544.41	₩26,102,053,777,839	₩230,253,463,946,420
Mar 17, 2021	₩2,043,222.01	₩2,063,693.02	₩1,980,683.79	₩2,045,911.70	₩27,716,532,578,003	₩237,292,237,390,700
Mar 16, 2021	₩2,029,711.42	₩2,056,588.99	₩1,950,033.30	₩2,043,126.53	₩26,983,165,974,340	₩235,473,663,763,994
Mar 15, 2021	₩2,106,767.59	₩2,145,656.46	₩1,981,215.19	₩2,028,905.77	₩29,821,456,611,516	₩234,258,963,494,250
Mar 14, 2021	₩2,186,451.90	₩2,194,311.93	₩2,096,978.81	₩2,107,310.40	₩21,984,932,192,282	₩242,493,583,799,757
Mar 13, 2021	₩2,014,049.38	₩2,202,114.77	₩1,970,264.41	₩2,187,385.76	₩28,428,944,441,887	₩251,632,352,682,505
Mar 12, 2021	₩2,063,896.98	₩2,079,773.77	₩1,961,578.45	₩2,013,976.75	₩25,351,239,827,761	₩230,322,344,753,648
Mar 11, 2021	₩2,044,262.74	₩2,084,699.47	₩1,965,080.91	₩2,063,499.55	₩27,301,571,942,030	₩238,795,003,288,161
Mar 10, 2021	₩2,122,428.38	₩2,132,705.51	₩2,015,036.22	₩2,045,550.09	₩28,572,783,339,507	₩235,018,681,481,362
Mar 09, 2021	₩2,092,912.73	₩2,121,928.35	₩2,060,632.77	₩2,121,928.35	₩26,756,608,564,967	₩244,965,954,241,771
Mar 08, 2021	₩1,945,132.80	₩2,092,963.04	₩1,893,177.26	₩2,092,433.58	₩31,170,998,505,949	₩237,964,594,840,992
